maitrise_martiale: x=-1800, y=-420
maitrise_tir: x=1750, y=-330
fondements_elementaires: x=430, y=700
pyromancie: x=-770, y=900
cryomancie: x=-350, y=900
aquamancie: x=595, y=900
geomancie: x=1085, y=900
aeromancie: x=1575, y=900
maitrise_arcane: x=-1190, y=900
maitrise_rage: x=-1730, y=-805
maitrise_sang: x=3150, y=1125
maitrise_impie: x=3690, y=1125
maitrise_sorceleur_melee: x=-4900, y=185
maitrise_sorceleur_signes: x=-4500, y=185
maitrise_aard: x=-4500, y=320
maitrise_igni: x=-4350, y=320
maitrise_yrden: x=-4200, y=320
maitrise_axii: x=-4050, y=320
maitrise_quen: x=-3900, y=320
